epoch,train_loss,train_acc,val_loss,val_acc,val_balanced_accuracy
1,1.3224272327187727,0.34033142857142856,1.3617698230841053,0.3096,0.3096
2,1.3102378399977954,0.36557428571428574,1.0715913198913731,0.5405066666666667,0.5405066666666667
3,1.0964782048840844,0.5169342857142857,1.078172086550514,0.5295066666666667,0.5295066666666667
4,0.9639649359356115,0.5950314285714285,0.8403880833155466,0.65572,0.6557200000000001
5,0.8259556731532653,0.6731971428571428,0.7569106587370915,0.70656,0.70656
6,0.726202321368554,0.7207,0.6010063457916214,0.7695066666666667,0.7695066666666668
7,0.6604505095338037,0.7506885714285715,0.5865886959504756,0.7787466666666667,0.7787466666666667
8,0.5551346335267237,0.7945171428571428,0.4751659651054864,0.82468,0.82468
9,0.5051178245047546,0.8132914285714286,0.4380172076587384,0.8385333333333334,0.8385333333333334
10,0.47009148224507213,0.8272885714285714,0.40707960432401696,0.84884,0.84884
11,0.4522947927170741,0.8325914285714285,0.39837199111338767,0.85164,0.85164
12,0.4619324697818355,0.8279542857142858,0.3937922669097832,0.85404,0.85404
13,0.43406986171955164,0.83976,0.3760679214684223,0.86096,0.86096
14,0.417266164052639,0.8467342857142857,0.3718340421038276,0.86232,0.86232
15,0.40397716444087856,0.8514,0.37108530940761336,0.86388,0.86388
16,0.39310694407719365,0.8555114285714286,0.35912565884431474,0.86668,0.8666799999999999
17,0.38451987448296554,0.8589171428571428,0.354706740114876,0.8687066666666666,0.8687066666666666
18,0.3771706551367883,0.8612114285714285,0.3512706269634055,0.8706133333333334,0.8706133333333334
19,0.38465475109312175,0.8587685714285714,0.35690110120858753,0.8676133333333333,0.8676133333333333
20,0.3772405203997108,0.8615514285714285,0.3440469986800448,0.8724933333333333,0.8724933333333333
